monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
000103901_01,-128.6739,54.0558,NA,America/Vancouver,CA,BC,Kitimat Riverlodge,British Columbia Ministry of Environment,British Columbia,NA,NA,000103901,01,000103901,NA,AIRNOW,NA,NA
121030004_01,-82.7361,27.9711,NA,America/New_York,US,FL,St. Petersburg College,Florida Dept. of Environmental Protection,Pinellas,"Tampa-St. Petersburg-Clearwater, FL",NA,121030004,01,121030004,NA,AIRNOW,NA,NA
483230004_01,-100.451155,28.704607,253,America/Chicago,US,TX,Eagle Pass C319,Texas Commission on Environmental Quality,Maverick,"Eagle Pass, TX",NA,483230004,01,483230004,NA,AIRNOW,NA,NA
480290677_01,-98.580505,29.423933,214,America/Chicago,US,TX,San Antonio Old Hwy90 C677,Texas Commission on Environmental Quality,Bexar,"San Antonio, TX",NA,480290677,01,480290677,NA,AIRNOW,NA,NA
420290100_01,-75.7678,39.8344,NA,America/New_York,US,PA,New Garden,Pennsylvania Dept. of Environmental Protection,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,420290100,01,420290100,NA,AIRNOW,NA,NA
420910013_01,-75.3092,40.1122,NA,America/New_York,US,PA,Norristown,Pennsylvania Dept. of Environmental Protection,Montgomery,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,420910013,01,420910013,NA,AIRNOW,NA,NA
171110001_01,-88.2411,42.2211,NA,America/Chicago,US,IL,CARY,Illinois EPA,Mc Henry,"Chicago-Naperville-Joliet, IL-IN-WI",NA,171110001,01,171110001,NA,AIRNOW,NA,NA
410290201_01,-122.7877,42.229891,594,America/Los_Angeles,US,OR,Talent - Rapp Lane,Oregon Dept. of Environmental Quality,Jackson,"Medford, OR",NA,410290201,01,410290201,NA,AIRNOW,NA,NA
CC0050131_01,-73.540388,45.539928,NA,America/New_York,CA,QC,Hochelaga,Canada-Quebec2,NA,NA,NA,CC0050131,01,CC0050131,NA,AIRNOW,NA,NA
271453052_01,-94.1333,45.55,NA,America/Chicago,US,MN,St. Cloud,Minnesota Pollution Control Agency,Stearns,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,271453052,01,271453052,NA,AIRNOW,NA,NA
